;GO:0016525;GO:0032570;GO:1902430;GO:0015031;GO:0090051;GO:0051092;GO:0045766;GO:0001300;GO:0042535;GO:1902949;GO:0000187;GO:0001666;GO:0030823;GO:0010812;GO:0045893;GO:0006958;GO:2000353;GO:2000352;GO:0034504;GO:0070208;GO:2001202;GO:1902042;GO:1902043;GO:2000098;GO:0032286;GO:0000902;GO:0061044;GO:0051260;GO:0045773;GO:0045652;GO:0042542;GO:0007266;GO:1902847;GO:0051895;GO:0071363;GO:0051131;GO:0071364;GO:0001836;GO:0018149;GO:0032436;GO:0051897;GO:0034976;GO:0045429;GO:0090399;GO:1905049;GO:0008284;GO:0007597;GO:0007598;GO:0002581;GO:1904237;GO:0045944;GO:0002576;GO:0048661;GO:0097187;GO:0034605;GO:0071277;GO:0010757;GO:0019221;GO:0048146;GO:0051384;GO:0010759;GO:0034446;GO:0010754;GO:0001649;GO:0010595;GO:0048260;GO:2000379;GO:0010751;GO:0051788;GO:0033591;GO:0061740;GO:0061741;GO:0035491;GO:0090201;GO:0022617;GO:0044344;GO:0043536;GO:0033629;GO:0001774;GO:0071260;GO:1902618;GO:0071300;GO:2001237;GO:0031960;GO:0001937;GO:0032496;GO:0050900;GO:0001938;GO:0019730;GO:0030199;GO:0017038;GO:0010763;GO:0033622;GO:0010641;GO:0030511;GO:0071306;GO:0007050;GO:0040037;GO:1902230;GO:0045727;GO:0022604;GO:0007179;GO:0042730;GO:1902998;GO:0009749;GO:0051045;GO:0043154;GO:0043032;GO:0032760;GO:0006919;GO:0033574;GO:0051965;GO:0090026;GO:1903573;GO:0050927;GO:0090263;GO:0043312;GO:1902004;GO:0038063;GO:0006898;GO:0043434;GO:0048208;GO:0032914;GO:1905908;GO:0071560;GO:0006888;GO:0032757;GO:1905907;GO:0010628;GO:0002605;GO:0010748;GO:0035987;GO:0032355;GO:0010469;GO:0030335;GO:0008360;GO:1901164;GO:0051591;GO:1903588;GO:0009615;GO:0043687;GO:0006986;GO:0002541;GO:0010718;GO:0045471;GO:0071230;GO:0030449;GO:0043691;GO:0010952;GO:2001027;GO:0010951;GO:0014912;GO:0071356;GO:0032463;GO:0032464;GO:0050776;GO:1905892;GO:2001044;GO:0050829;GO:0051918;GO:0007044;GO:1905895;GO:1901331;GO:1901216;GO:0002543;GO:0070372;GO:0071222;GO:0045087;GO:0043066;GO:0032695
GO:0010951;0.23076923076923078;0.0;0.5;0.0;0.2;0.2;0.08333333333333333;0.0;0.4166666666666667;0.25;0.23076923076923078;0.0;0.3076923076923077;0.36363636363636365;0.3333333333333333;0.0;0.2;0.2857142857142857;0.0;0.0;0.3076923076923077;0.2857142857142857;0.2;0.3076923076923077;0.0;0.0;0.23076923076923078;0.0;0.125;0.25;0.0;0.0;0.25;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.46153846153846156;0.21428571428571427;0.0;0.3333333333333333;0.0;0.75;0.2727272727272727;0.0;0.0;0.25;0.08333333333333333;0.3076923076923077;0.0;0.25;0.0;0.0;0.0;0.6363636363636364;0.0;0.25;0.0;0.08333333333333333;0.0;0.3076923076923077;0.0;0.08333333333333333;0.23076923076923078;0.36363636363636365;0.3076923076923077;0.0;0.0;0.0;0.0;0.09090909090909091;0.3076923076923077;0.0;0.0;0.07692307692307693;0.36363636363636365;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.3333333333333333;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.21428571428571427;0.0;0.23076923076923078;0.25;0.0;0.36363636363636365;0.36363636363636365;0.36363636363636365;0.45454545454545453;0.2727272727272727;0.0;0.25;0.23076923076923078;0.0;0.7;0.7777777777777778;0.23076923076923078;0.07692307692307693;0.5454545454545454;0.0;0.125;0.07692307692307693;0.4;0.08333333333333333;0.21428571428571427;0.0;0.4166666666666667;0.0;0.0;0.0;0.0;0.07692307692307693;0.45454545454545453;0.0;0.0;0.08333333333333333;0.5454545454545454;0.36363636363636365;0.25;0.21428571428571427;0.0;0.0;0.25;0.23076923076923078;0.1111111111111111;0.2727272727272727;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.5454545454545454;0.0;0.625;0.25;1.0;0.3076923076923077;0.0;0.3076923076923077;0.21428571428571427;0.1;0.4;0.25;0.0;0.3;0.0;0.4;0.23076923076923078;0.25;0.0;0.38461538461538464;0.0;0.0;0.3333333333333333;0.25
GO:0014912;0.2727272727272727;0.0;0.36363636363636365;0.0;0.5454545454545454;0.2;0.18181818181818182;0.0;0.23076923076923078;0.1875;0.1875;0.0;0.23076923076923078;0.4;0.23076923076923078;0.0;0.21428571428571427;0.3076923076923077;0.0;0.0;0.2727272727272727;0.25;0.21428571428571427;0.3333333333333333;0.0;0.0;0.2727272727272727;0.0;0.125;0.2727272727272727;0.0;0.0;0.2727272727272727;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.2;0.23076923076923078;0.0;0.25;0.0;0.3076923076923077;0.3;0.0;0.0;0.3;0.5555555555555556;0.21428571428571427;0.0;0.2727272727272727;0.0;0.0;0.0;0.3076923076923077;0.0;0.2727272727272727;0.0;0.5;0.0;0.3333333333333333;0.0;0.5;0.25;0.2727272727272727;0.3333333333333333;0.0;0.0;0.0;0.0;0.2;0.3333333333333333;0.0;0.0;0.45454545454545453;0.4;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.36363636363636365;0.0;0.0;0.25;0.0;0.0;0.0;0.5555555555555556;0.0;0.25;0.2727272727272727;0.0;0.4;0.4;0.4;0.25;0.3;0.0;0.3;0.25;0.0;0.36363636363636365;0.3333333333333333;0.25;0.16666666666666666;0.21428571428571427;0.0;0.125;0.45454545454545453;0.4444444444444444;0.3;0.23076923076923078;0.0;0.25;0.0;0.0;0.0;0.0;0.16666666666666666;0.25;0.0;0.0;0.18181818181818182;0.36363636363636365;0.18181818181818182;0.3;0.25;0.0;0.0;0.1111111111111111;0.625;0.1111111111111111;0.75;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.2;0.0;0.23076923076923078;0.6;0.3076923076923077;1.0;0.0;0.3333333333333333;0.23076923076923078;0.2222222222222222;0.4444444444444444;0.2727272727272727;0.0;0.375;0.0;0.4444444444444444;0.25;0.2727272727272727;0.0;0.23076923076923078;0.0;0.0;0.36363636363636365;0.3
GO:0071356;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.25;0.14285714285714285;0.0;0.0;0.5714285714285714;0.0;0.5;0.14285714285714285;0.09090909090909091;0.0;0.0;0.25;0.0;0.1111111111111111;0.0;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.1;0.0;0.0;0.25;0.3333333333333333;0.0;0.14285714285714285;0.0;0.3;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.3333333333333333;0.0;0.0;0.0;0.0;0.1111111111111111;0.5;0.0;0.0;0.1111111111111111;0.2222222222222222;0.375;0.5;0.0;0.3333333333333333;0.0;0.375;0.0;0.0;0.1111111111111111;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.5;0.14285714285714285;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.375;0.14285714285714285;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.09090909090909091;0.375;0.0;0.0;0.375;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.125;0.0;0.0
GO:0032463;0.25;0.0;0.36363636363636365;0.0;0.21428571428571427;0.2;0.18181818181818182;0.0;0.23076923076923078;0.1875;0.1875;0.0;0.23076923076923078;0.4;0.23076923076923078;0.0;0.21428571428571427;0.3076923076923077;0.0;0.0;0.3333333333333333;0.3076923076923077;0.21428571428571427;0.3333333333333333;0.0;0.0;0.25;0.0;0.36363636363636365;0.2727272727272727;0.0;0.0;0.2727272727272727;0.5;0.0;0.0;0.0;0.0;0.0;0.2;0.23076923076923078;0.0;0.25;0.0;0.3076923076923077;0.3;0.0;0.0;0.2727272727272727;0.18181818181818182;0.21428571428571427;0.0;0.2727272727272727;0.0;0.0;0.0;0.3076923076923077;0.0;0.2727272727272727;0.0;0.18181818181818182;0.0;0.3333333333333333;0.0;0.18181818181818182;0.36363636363636365;0.2727272727272727;0.3333333333333333;0.0;0.0;0.0;0.0;0.2;0.45454545454545453;0.0;0.0;0.16666666666666666;0.4;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.36363636363636365;0.0;0.0;0.25;0.0;0.0;0.0;0.23076923076923078;0.0;0.25;0.2727272727272727;0.0;0.4;0.4;0.4;0.25;0.4444444444444444;0.0;0.2727272727272727;0.3;0.0;0.36363636363636365;0.3333333333333333;0.25;0.16666666666666666;0.21428571428571427;0.0;0.3333333333333333;0.16666666666666666;0.4444444444444444;0.18181818181818182;0.23076923076923078;0.0;0.25;0.0;0.0;0.0;0.0;0.16666666666666666;0.36363636363636365;0.0;0.0;0.18181818181818182;0.5;0.18181818181818182;0.2727272727272727;0.23076923076923078;0.0;0.0;0.1111111111111111;0.25;0.4;0.3;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.2;0.0;0.23076923076923078;0.2727272727272727;0.3076923076923077;0.3333333333333333;0.0;1.0;0.75;0.2222222222222222;0.4444444444444444;0.2727272727272727;0.0;0.3333333333333333;0.0;0.4444444444444444;0.25;0.2727272727272727;0.0;0.23076923076923078;0.0;0.0;0.36363636363636365;0.2727272727272727
GO:0032464;0.18181818181818182;0.0;0.25;0.0;0.15384615384615385;0.3333333333333333;0.3;0.0;0.3333333333333333;0.26666666666666666;0.26666666666666666;0.0;0.23076923076923078;0.2727272727272727;0.2727272727272727;0.0;0.3076923076923077;0.21428571428571427;0.0;0.0;0.23076923076923078;0.21428571428571427;0.25;0.23076923076923078;0.0;0.0;0.16666666666666666;0.0;0.4;0.2727272727272727;0.0;0.0;0.2727272727272727;0.3;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.2727272727272727;0.0;0.36363636363636365;0.0;0.21428571428571427;0.4444444444444444;0.0;0.0;0.18181818181818182;0.3;0.25;0.0;0.4;0.0;0.0;0.0;0.21428571428571427;0.0;0.4;0.0;0.2727272727272727;0.0;0.23076923076923078;0.0;0.3;0.5;0.4;0.23076923076923078;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.2727272727272727;0.2727272727272727;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.25;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.2727272727272727;0.0;0.3;0.4;0.0;0.0;0.2727272727272727;0.2727272727272727;0.36363636363636365;0.4444444444444444;0.0;0.18181818181818182;0.4444444444444444;0.0;0.25;0.23076923076923078;0.3;0.2727272727272727;0.3076923076923077;0.0;0.5;0.2727272727272727;0.3;0.3;0.2727272727272727;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.2727272727272727;0.5;0.0;0.0;0.3;0.36363636363636365;0.3;0.18181818181818182;0.15384615384615385;0.0;0.0;0.1111111111111111;0.3;0.4;0.2;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.2;0.0;0.3333333333333333;0.18181818181818182;0.21428571428571427;0.23076923076923078;0.0;0.75;1.0;0.2222222222222222;0.3;0.2727272727272727;0.0;0.3;0.0;0.3;0.3333333333333333;0.4;0.3;0.23076923076923078;0.0;0.0;0.25;0.18181818181818182
GO:0050776;0.25;0.0;0.2222222222222222;0.0;0.2;0.2857142857142857;0.25;0.0;0.2;0.09090909090909091;0.3;0.0;0.2222222222222222;0.2857142857142857;0.2222222222222222;0.5;0.18181818181818182;0.18181818181818182;0.0;0.0;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.2222222222222222;0.0;0.0;0.375;0.0;0.2;0.42857142857142855;0.0;0.0;0.5;0.25;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.375;0.0;0.2222222222222222;0.0;0.1;0.2857142857142857;0.0;0.0;0.42857142857142855;0.25;0.2;0.0;0.25;0.0;0.0;0.0;0.18181818181818182;0.0;0.25;0.0;0.42857142857142855;0.0;0.375;0.0;0.25;0.25;0.25;0.375;0.0;0.0;0.0;0.0;0.375;0.375;0.0;0.0;0.2222222222222222;0.2857142857142857;0.0;0.0;0.0;0.0;0.375;0.0;0.2222222222222222;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.2222222222222222;0.0;0.42857142857142855;0.42857142857142855;0.0;0.0;0.42857142857142855;0.42857142857142855;0.2222222222222222;0.2857142857142857;0.0;0.375;0.25;0.0;0.2222222222222222;0.2;0.42857142857142855;0.2222222222222222;0.18181818181818182;0.0;0.2;0.375;0.5;0.375;0.375;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.2222222222222222;0.2222222222222222;0.0;0.0;0.25;0.2222222222222222;0.25;0.42857142857142855;0.2;0.0;0.0;0.5;0.25;0.16666666666666666;0.2857142857142857;0.0;0.2;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.6666666666666666;0.0;0.1111111111111111;0.375;0.1;0.2222222222222222;0.0;0.2222222222222222;0.2222222222222222;1.0;0.5;0.5;0.0;0.42857142857142855;0.0;0.5;0.2222222222222222;0.25;0.0;0.375;0.0;0.0;0.2222222222222222;0.25
GO:1905892;0.3333333333333333;0.0;0.5;0.0;0.2727272727272727;0.25;0.2222222222222222;0.0;0.3;0.23076923076923078;0.2727272727272727;0.0;0.3;0.5714285714285714;0.3;0.0;0.2727272727272727;0.4;0.0;0.0;0.4444444444444444;0.4444444444444444;0.3;0.4444444444444444;0.0;0.0;0.5;0.0;0.375;0.375;0.0;0.0;0.42857142857142855;0.5;0.0;0.0;0.0;0.0;0.0;0.25;0.3333333333333333;0.0;0.3333333333333333;0.0;0.4;0.42857142857142855;0.0;0.0;0.375;0.3;0.2727272727272727;0.0;0.375;0.0;0.0;0.0;0.4;0.375;0.375;0.0;0.3;0.0;0.5;0.0;0.2222222222222222;0.3333333333333333;0.375;0.5;0.0;0.0;0.0;0.0;0.3333333333333333;0.5;0.0;0.0;0.2;0.5714285714285714;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3;0.0;0.375;0.375;0.0;0.5714285714285714;0.5714285714285714;0.5714285714285714;0.3333333333333333;0.42857142857142855;0.0;0.375;0.3333333333333333;0.0;0.5;0.4444444444444444;0.3333333333333333;0.2;0.2727272727272727;0.0;0.16666666666666666;0.3;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.2;0.3333333333333333;0.0;0.0;0.2222222222222222;0.5;0.2222222222222222;0.375;0.3;0.0;0.0;0.42857142857142855;0.3333333333333333;0.375;0.42857142857142855;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.375;0.0;0.3;0.5;0.4;0.4444444444444444;0.0;0.4444444444444444;0.3;0.5;1.0;0.42857142857142855;0.0;0.5;0.0;0.6666666666666666;0.3333333333333333;0.375;0.0;0.3333333333333333;0.0;0.0;0.5;0.375
GO:2001044;0.2222222222222222;0.0;0.3;0.0;0.18181818181818182;0.25;0.2222222222222222;0.0;0.2727272727272727;0.21428571428571427;0.4;0.0;0.2727272727272727;0.3333333333333333;0.2727272727272727;0.0;0.25;0.25;0.0;0.0;0.2727272727272727;0.4444444444444444;0.4444444444444444;0.2727272727272727;0.0;0.0;0.3333333333333333;0.0;0.16666666666666666;0.3333333333333333;0.0;0.0;0.6666666666666666;0.3;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.5;0.0;0.3;0.0;0.25;0.375;0.0;0.0;0.2222222222222222;0.2222222222222222;0.25;0.0;0.3333333333333333;0.0;0.0;0.0;0.25;0.0;0.3333333333333333;0.0;0.3;0.0;0.5;0.0;0.2222222222222222;0.3;0.3333333333333333;0.5;0.0;0.0;0.0;0.0;0.3333333333333333;0.5;0.0;0.0;0.2;0.3333333333333333;0.0;0.0;0.0;0.0;0.5;0.0;0.3;0.0;0.0;0.3;0.0;0.0;0.0;0.2727272727272727;0.0;0.5714285714285714;0.5;0.0;0.0;0.5714285714285714;0.375;0.3;0.375;0.0;0.3333333333333333;0.3;0.0;0.3;0.2727272727272727;0.3;0.2;0.25;0.0;0.16666666666666666;0.3;0.42857142857142855;0.3333333333333333;0.5;0.0;0.3;0.0;0.0;0.0;0.0;0.2;0.3;0.0;0.0;0.2222222222222222;0.3;0.2222222222222222;0.2222222222222222;0.18181818181818182;0.0;0.0;0.6666666666666666;0.3;0.14285714285714285;0.25;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.375;0.0;0.2727272727272727;0.3333333333333333;0.25;0.2727272727272727;0.0;0.2727272727272727;0.2727272727272727;0.5;0.42857142857142855;1.0;0.0;0.375;0.0;0.42857142857142855;0.3;0.3333333333333333;0.0;0.5;0.0;0.0;0.3;0.2222222222222222
GO:0050829;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.1;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.09090909090909091;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.2222222222222222;0.1;0.1;0.0;0.1;0.0;0.375;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.3333333333333333;0.0;0.25;0.0;0.0;0.1111111111111111;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.42857142857142855;0.0;0.0
GO:0051918;0.375;0.0;0.375;0.0;0.3;0.375;0.4444444444444444;0.0;0.36363636363636365;0.09090909090909091;0.36363636363636365;0.0;0.2222222222222222;0.42857142857142855;0.3;0.0;0.25;0.3;0.0;0.0;0.375;0.3333333333333333;0.4;0.3333333333333333;0.0;0.0;0.375;0.0;0.2;0.25;0.0;0.0;0.375;0.375;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.4444444444444444;0.0;0.3;0.0;0.3;0.2857142857142857;0.0;0.0;0.42857142857142855;0.3333333333333333;0.2727272727272727;0.0;0.25;0.0;0.0;0.0;0.3;0.0;0.25;0.0;0.5555555555555556;0.0;0.375;0.0;0.4444444444444444;0.3333333333333333;0.25;0.375;0.0;0.0;0.0;0.0;0.625;0.3333333333333333;0.0;0.0;0.4;0.42857142857142855;0.0;0.0;0.0;0.0;0.375;0.0;0.375;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.3;0.0;0.5;0.5;0.0;0.42857142857142855;0.42857142857142855;0.42857142857142855;0.3;0.2857142857142857;0.0;0.5;0.3333333333333333;0.0;0.375;0.3333333333333333;0.3333333333333333;0.4;0.25;0.0;0.2;0.5555555555555556;0.5;0.625;0.4444444444444444;0.0;0.3;0.0;0.0;0.0;0.0;0.4;0.3;0.0;0.0;0.4444444444444444;0.375;0.25;0.42857142857142855;0.3333333333333333;0.0;0.0;0.16666666666666666;0.3333333333333333;0.16666666666666666;0.5;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.4444444444444444;0.0;0.2727272727272727;0.42857142857142855;0.3;0.375;0.0;0.3333333333333333;0.3;0.42857142857142855;0.5;0.375;0.0;1.0;0.0;0.5;0.2222222222222222;0.3333333333333333;0.7142857142857143;0.3;0.0;0.0;0.375;0.42857142857142855
GO:0007044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1905895;0.3333333333333333;0.0;0.5;0.0;0.2727272727272727;0.25;0.2222222222222222;0.0;0.3;0.23076923076923078;0.2727272727272727;0.0;0.3;0.5714285714285714;0.3;0.0;0.2727272727272727;0.4;0.0;0.0;0.4444444444444444;0.4444444444444444;0.3;0.4444444444444444;0.0;0.0;0.5;0.0;0.375;0.375;0.0;0.0;0.42857142857142855;0.5;0.0;0.0;0.0;0.0;0.0;0.25;0.3333333333333333;0.0;0.3333333333333333;0.0;0.4;0.42857142857142855;0.0;0.0;0.375;0.3;0.2727272727272727;0.0;0.375;0.0;0.0;0.0;0.4;0.375;0.375;0.0;0.3;0.0;0.5;0.0;0.2222222222222222;0.3333333333333333;0.375;0.5;0.0;0.0;0.0;0.0;0.3333333333333333;0.5;0.0;0.0;0.2;0.5714285714285714;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3;0.0;0.375;0.375;0.0;0.5714285714285714;0.5714285714285714;0.5714285714285714;0.3333333333333333;0.42857142857142855;0.0;0.375;0.3333333333333333;0.0;0.5;0.4444444444444444;0.3333333333333333;0.2;0.2727272727272727;0.0;0.16666666666666666;0.3;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.2;0.3333333333333333;0.0;0.0;0.2222222222222222;0.5;0.2222222222222222;0.375;0.3;0.0;0.0;0.42857142857142855;0.3333333333333333;0.375;0.42857142857142855;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.375;0.0;0.3;0.5;0.4;0.4444444444444444;0.0;0.4444444444444444;0.3;0.5;0.6666666666666666;0.42857142857142855;0.0;0.5;0.0;1.0;0.3333333333333333;0.375;0.0;0.3333333333333333;0.0;0.0;0.5;0.375
GO:1901331;0.4;0.0;0.2727272727272727;0.0;0.3333333333333333;0.3;0.4;0.0;0.3333333333333333;0.26666666666666666;0.26666666666666666;0.0;0.25;0.3;0.25;0.0;0.3076923076923077;0.23076923076923078;0.0;0.0;0.2727272727272727;0.23076923076923078;0.3076923076923077;0.25;0.0;0.0;0.36363636363636365;0.0;0.4;0.4444444444444444;0.0;0.0;0.3;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.3333333333333333;0.0;0.36363636363636365;0.0;0.23076923076923078;0.4444444444444444;0.0;0.0;0.18181818181818182;0.2727272727272727;0.23076923076923078;0.0;0.4;0.0;0.0;0.0;0.23076923076923078;0.3;0.4;0.0;0.25;0.0;0.25;0.0;0.3;0.36363636363636365;0.4;0.25;0.0;0.0;0.0;0.0;0.3333333333333333;0.25;0.0;0.0;0.2727272727272727;0.3;0.0;0.0;0.0;0.0;0.25;0.0;0.2727272727272727;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.3333333333333333;0.0;0.36363636363636365;0.4;0.0;0.3;0.3;0.3;0.36363636363636365;0.3333333333333333;0.0;0.2727272727272727;0.36363636363636365;0.0;0.2727272727272727;0.25;0.36363636363636365;0.2727272727272727;0.3076923076923077;0.0;0.4;0.25;0.3333333333333333;0.2727272727272727;0.3333333333333333;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.2727272727272727;0.36363636363636365;0.0;0.0;0.3;0.2727272727272727;0.2727272727272727;0.18181818181818182;0.15384615384615385;0.0;0.0;0.3;0.36363636363636365;0.3;0.4444444444444444;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.2;0.0;0.3333333333333333;0.2727272727272727;0.23076923076923078;0.25;0.0;0.25;0.3333333333333333;0.2222222222222222;0.3333333333333333;0.3;0.0;0.2222222222222222;0.0;0.3333333333333333;1.0;0.4;0.0;0.25;0.0;0.0;0.2727272727272727;0.3
