;GO:0016525;GO:0042416;GO:0007093;GO:0016925;GO:0034198;GO:0043068;GO:0042771;GO:0021952;GO:0046854;GO:0008344;GO:0090050;GO:1902949;GO:0071493;GO:0000188;GO:0030307;GO:0001666;GO:0071376;GO:0030308;GO:0001701;GO:0035556;GO:0007265;GO:0006611;GO:0042149;GO:0061844;GO:0051412;GO:0071480;GO:0032713;GO:0030890;GO:0050725;GO:0031100;GO:0032436;GO:0051897;GO:0090399;GO:0033089;GO:0032792;GO:0043123;GO:0097191;GO:0045786;GO:0042551;GO:0046599;GO:0045944;GO:0043401;GO:0043524;GO:0048661;GO:0000165;GO:0034605;GO:0071310;GO:0043372;GO:0019221;GO:0048146;GO:0051549;GO:0033233;GO:0038128;GO:2000379;GO:0050731;GO:0051545;GO:2000773;GO:0030522;GO:0046886;GO:0044344;GO:0007517;GO:0051310;GO:0042053;GO:0035767;GO:0030593;GO:2001238;GO:0001938;GO:0035924;GO:0010243;GO:2001234;GO:0018108;GO:0032092;GO:0007052;GO:0007173;GO:0006366;GO:0045721;GO:0046777;GO:0061418;GO:0002042;GO:0045444;GO:0045604;GO:0006367;GO:0060326;GO:0009749;GO:0035914;GO:0071850;GO:0030509;GO:0048168;GO:0043153;GO:2000278;GO:0072303;GO:0060291;GO:0032486;GO:0060292;GO:0032007;GO:0055007;GO:0014037;GO:0090303;GO:0007186;GO:0090023;GO:0061000;GO:1904706;GO:1904948;GO:0045736;GO:0030217;GO:0010629;GO:0010508;GO:0031668;GO:0010868;GO:0032870;GO:0010469;GO:0018105;GO:2000182;GO:1904031;GO:0007274;GO:0045586;GO:1901842;GO:0000122;GO:0006978;GO:0032868;GO:0000086;GO:0006977;GO:0000082;GO:0098759;GO:0033158;GO:0060070;GO:0010830;GO:2000210;GO:0035335;GO:0032743;GO:0060574;GO:0090400;GO:0006351;GO:0007166;GO:1901216;GO:0060337;GO:0006357;GO:0007567;GO:0090090;GO:0071222;GO:0001975;GO:0043066;GO:0070098;GO:0034599;GO:0070498;GO:0032733;GO:0071506;GO:0071866;GO:0045080;GO:0071504
GO:0007166;0.13333333333333333;0.26666666666666666;0.14285714285714285;0.25;0.2857142857142857;0.6153846153846154;0.13333333333333333;0.11764705882352941;0.26666666666666666;0.0;0.1111111111111111;0.1111111111111111;0.13333333333333333;0.4;0.6153846153846154;0.0;0.13333333333333333;0.6153846153846154;0.0;0.16666666666666666;0.14285714285714285;0.0;0.2857142857142857;0.0;0.0;0.14285714285714285;0.15384615384615385;0.5;0.5;0.0;0.4444444444444444;0.5333333333333333;0.36363636363636365;0.47058823529411764;0.10526315789473684;0.5333333333333333;0.9230769230769231;0.6666666666666666;0.18181818181818182;0.11764705882352941;0.4444444444444444;0.15384615384615385;0.5333333333333333;0.6153846153846154;0.125;0.3333333333333333;0.36363636363636365;0.4444444444444444;0.9230769230769231;0.6153846153846154;0.125;0.5;0.125;0.6153846153846154;0.47058823529411764;0.5;0.5714285714285714;0.16666666666666666;0.5714285714285714;0.15384615384615385;0.0;0.0;0.5714285714285714;0.13333333333333333;0.125;0.5;0.5714285714285714;0.3076923076923077;0.0;0.5333333333333333;0.25;0.16666666666666666;0.14285714285714285;0.125;0.11764705882352941;0.5;0.26666666666666666;0.10526315789473684;0.125;0.36363636363636365;0.6153846153846154;0.125;0.16666666666666666;0.0;0.18181818181818182;0.14285714285714285;0.1111111111111111;0.13333333333333333;0.15384615384615385;0.5714285714285714;0.125;0.5333333333333333;0.13333333333333333;0.5333333333333333;0.5333333333333333;0.15384615384615385;0.16666666666666666;0.14285714285714285;0.16666666666666666;0.1111111111111111;0.1111111111111111;0.5714285714285714;0.15384615384615385;0.42105263157894735;0.15384615384615385;0.15384615384615385;0.5714285714285714;0.36363636363636365;0.5333333333333333;0.16666666666666666;0.15384615384615385;0.25;0.5333333333333333;0.4444444444444444;0.13333333333333333;0.5;0.10526315789473684;0.4444444444444444;0.13333333333333333;0.0;0.16666666666666666;0.1111111111111111;0.16666666666666666;0.3076923076923077;0.125;0.13333333333333333;0.5714285714285714;0.5333333333333333;0.26666666666666666;0.15384615384615385;0.15384615384615385;0.3333333333333333;0.125;1.0;0.6153846153846154;0.14285714285714285;0.47058823529411764;0.0;0.5333333333333333;0.15384615384615385;0.0;0.5714285714285714;0.14285714285714285;0.36363636363636365;0.14285714285714285;0.15384615384615385;0.3076923076923077;0.5333333333333333;0.5333333333333333;0.3076923076923077
GO:1901216;0.375;0.0;0.13333333333333333;0.0;0.0;0.8571428571428571;0.125;0.0;0.0;0.0;0.42105263157894735;0.5263157894736842;0.0;0.38095238095238093;0.7142857142857143;0.0;0.0;0.5714285714285714;0.0;0.6153846153846154;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.5882352941176471;0.5882352941176471;0.0;0.5263157894736842;0.625;0.0;0.5555555555555556;0.3;0.625;0.5714285714285714;0.6153846153846154;0.0;0.4444444444444444;0.42105263157894735;0.5714285714285714;0.75;0.7142857142857143;0.47058823529411764;0.0;0.0;0.5263157894736842;0.5714285714285714;0.7142857142857143;0.47058823529411764;0.47058823529411764;0.11764705882352941;0.7142857142857143;0.5555555555555556;0.47058823529411764;0.5333333333333333;0.6153846153846154;0.6666666666666666;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.7058823529411765;0.6666666666666666;0.0;0.0;0.625;0.0;0.3076923076923077;0.0;0.11764705882352941;0.0;0.47058823529411764;0.0;0.1;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.13333333333333333;0.10526315789473684;0.25;0.42857142857142855;0.5333333333333333;0.5882352941176471;0.625;0.125;0.5;0.5;0.0;0.0;0.5333333333333333;0.6153846153846154;0.42105263157894735;0.10526315789473684;0.5333333333333333;0.0;0.4;0.0;0.42857142857142855;0.6666666666666666;0.0;0.5;0.0;0.5714285714285714;0.0;0.5;0.42105263157894735;0.0;0.47058823529411764;0.3;0.42105263157894735;0.125;0.0;0.0;0.42105263157894735;0.0;0.0;0.35294117647058826;0.125;0.5333333333333333;0.75;0.0;0.5714285714285714;0.0;0.0;0.0;0.6153846153846154;1.0;0.13333333333333333;0.4444444444444444;0.0;0.5;0.0;0.0;0.6666666666666666;0.13333333333333333;0.0;0.13333333333333333;0.5714285714285714;0.0;0.625;0.625;0.0
GO:0060337;0.11764705882352941;0.23529411764705882;0.125;0.2222222222222222;0.25;0.13333333333333333;0.11764705882352941;0.10526315789473684;0.23529411764705882;0.0;0.1;0.1;0.11764705882352941;0.09090909090909091;0.13333333333333333;0.0;0.11764705882352941;0.13333333333333333;0.0;0.14285714285714285;0.125;0.0;0.25;0.0;0.0;0.125;0.13333333333333333;0.1111111111111111;0.1111111111111111;0.0;0.4;0.11764705882352941;0.3076923076923077;0.42105263157894735;0.09523809523809523;0.11764705882352941;0.13333333333333333;0.14285714285714285;0.15384615384615385;0.10526315789473684;0.1;0.13333333333333333;0.11764705882352941;0.13333333333333333;0.1111111111111111;0.2857142857142857;0.3076923076923077;0.4;0.9333333333333333;0.13333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.13333333333333333;0.42105263157894735;0.4444444444444444;0.125;0.14285714285714285;0.125;0.13333333333333333;0.0;0.0;0.125;0.11764705882352941;0.1111111111111111;0.1111111111111111;0.125;0.26666666666666666;0.0;0.11764705882352941;0.2222222222222222;0.14285714285714285;0.125;0.1111111111111111;0.10526315789473684;0.1111111111111111;0.23529411764705882;0.09523809523809523;0.1111111111111111;0.3076923076923077;0.13333333333333333;0.1111111111111111;0.14285714285714285;0.0;0.15384615384615385;0.125;0.1;0.11764705882352941;0.13333333333333333;0.125;0.1111111111111111;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.13333333333333333;0.14285714285714285;0.125;0.14285714285714285;0.1;0.1;0.125;0.13333333333333333;0.38095238095238093;0.13333333333333333;0.13333333333333333;0.125;0.3076923076923077;0.11764705882352941;0.14285714285714285;0.13333333333333333;0.2222222222222222;0.11764705882352941;0.4;0.11764705882352941;0.1111111111111111;0.09523809523809523;0.1;0.11764705882352941;0.0;0.14285714285714285;0.1;0.14285714285714285;0.26666666666666666;0.1111111111111111;0.11764705882352941;0.125;0.11764705882352941;0.23529411764705882;0.13333333333333333;0.13333333333333333;0.2857142857142857;0.1111111111111111;0.14285714285714285;0.13333333333333333;1.0;0.10526315789473684;0.0;0.11764705882352941;0.13333333333333333;0.0;0.125;0.125;0.3076923076923077;0.125;0.13333333333333333;0.26666666666666666;0.11764705882352941;0.11764705882352941;0.26666666666666666
GO:0006357;0.3;0.0;0.10526315789473684;0.0;0.0;0.4444444444444444;0.1;0.0;0.0;0.0;0.2608695652173913;0.43478260869565216;0.0;0.4;0.4444444444444444;0.0;0.0;0.4444444444444444;0.0;0.47058823529411764;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.38095238095238093;0.5714285714285714;0.0;0.43478260869565216;0.4;0.0;0.36363636363636365;0.8333333333333334;0.4;0.1111111111111111;0.47058823529411764;0.0;0.2727272727272727;0.9565217391304348;0.1111111111111111;0.4;0.4444444444444444;0.38095238095238093;0.0;0.0;0.34782608695652173;0.1111111111111111;0.4444444444444444;0.2857142857142857;0.47619047619047616;0.09523809523809523;0.5555555555555556;0.45454545454545453;0.6666666666666666;0.42105263157894735;0.47058823529411764;0.631578947368421;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.38095238095238093;0.42105263157894735;0.0;0.0;0.4;0.0;0.23529411764705882;0.0;0.09523809523809523;0.0;0.5714285714285714;0.0;0.9166666666666666;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.10526315789473684;0.9565217391304348;0.2;0.3333333333333333;0.7368421052631579;0.09523809523809523;0.4;0.1;0.4;0.4;0.0;0.0;0.3157894736842105;0.47058823529411764;0.2608695652173913;0.08695652173913043;0.42105263157894735;0.0;0.3333333333333333;0.0;0.6666666666666666;0.5263157894736842;0.0;0.6;0.0;0.2222222222222222;0.0;0.6;0.34782608695652173;0.0;0.38095238095238093;0.25;0.9565217391304348;0.1;0.0;0.0;0.34782608695652173;0.0;0.0;0.2857142857142857;0.1;0.42105263157894735;0.4;0.0;0.3333333333333333;0.0;0.0;0.0;0.47058823529411764;0.4444444444444444;0.10526315789473684;1.0;0.0;0.4;0.0;0.0;0.42105263157894735;0.10526315789473684;0.0;0.10526315789473684;0.3333333333333333;0.0;0.4;0.6;0.0
GO:0007567;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0090090;0.4444444444444444;0.0;0.5882352941176471;0.0;0.0;0.5;0.1111111111111111;0.0;0.0;0.0;0.2857142857142857;0.38095238095238093;0.0;0.6086956521739131;0.5;0.0;0.0;0.625;0.0;0.5333333333333333;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.5;0.42105263157894735;0.42105263157894735;0.0;0.38095238095238093;0.6666666666666666;0.0;0.4;0.36363636363636365;0.6666666666666666;0.125;0.6666666666666666;0.0;0.3;0.38095238095238093;0.125;0.5555555555555556;0.5;0.42105263157894735;0.0;0.0;0.38095238095238093;0.125;0.5;0.3157894736842105;0.42105263157894735;0.10526315789473684;0.5;0.4;0.5263157894736842;0.5882352941176471;0.5333333333333333;0.47058823529411764;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.631578947368421;0.47058823529411764;0.0;0.0;0.7777777777777778;0.0;0.26666666666666666;0.0;0.10526315789473684;0.0;0.42105263157894735;0.0;0.09090909090909091;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5882352941176471;0.09523809523809523;0.4444444444444444;0.375;0.47058823529411764;0.10526315789473684;0.4444444444444444;0.1111111111111111;0.5555555555555556;0.7777777777777778;0.0;0.0;0.47058823529411764;0.5333333333333333;0.38095238095238093;0.09523809523809523;0.5882352941176471;0.0;0.45454545454545453;0.0;0.5;0.47058823529411764;0.0;0.5555555555555556;0.0;0.75;0.0;0.4444444444444444;0.38095238095238093;0.0;0.42105263157894735;0.36363636363636365;0.38095238095238093;0.1111111111111111;0.0;0.0;0.38095238095238093;0.0;0.0;0.3157894736842105;0.1111111111111111;0.47058823529411764;0.4444444444444444;0.0;0.375;0.0;0.0;0.0;0.5333333333333333;0.5;0.11764705882352941;0.4;0.0;1.0;0.0;0.0;0.5882352941176471;0.11764705882352941;0.0;0.11764705882352941;0.375;0.0;0.5555555555555556;0.4444444444444444;0.0
GO:0071222;0.0;0.125;0.13333333333333333;0.11764705882352941;0.26666666666666666;0.0;0.125;0.1111111111111111;0.125;0.0;0.0;0.0;0.25;0.0;0.0;0.3076923076923077;0.625;0.0;0.0;0.15384615384615385;0.13333333333333333;0.0;0.26666666666666666;0.5714285714285714;0.5;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.14285714285714285;0.0;0.16666666666666666;0.0;0.0;0.14285714285714285;0.0;0.0;0.11764705882352941;0.3076923076923077;0.8333333333333334;0.0;0.14285714285714285;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.7142857142857143;0.0;0.0;0.0;0.125;0.11764705882352941;0.0;0.0;0.7142857142857143;0.6666666666666666;0.0;0.11764705882352941;0.0;0.13333333333333333;0.11764705882352941;0.1111111111111111;0.0;0.125;0.2;0.11764705882352941;0.16666666666666666;0.0;0.11764705882352941;0.15384615384615385;0.5333333333333333;0.16666666666666666;0.13333333333333333;0.10526315789473684;0.0;0.42857142857142855;0.0;0.0;0.0;0.125;0.0;0.0;0.14285714285714285;0.15384615384615385;0.0;0.15384615384615385;0.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.5;0.0;0.7692307692307693;0.0;0.11764705882352941;0.0;0.0;0.125;0.0;0.0;0.0;0.125;0.5333333333333333;0.15384615384615385;0.21052631578947367;0.15384615384615385;0.7142857142857143;0.0;0.125;0.0;0.0;0.125;0.0;0.14285714285714285;0.3076923076923077;0.11764705882352941;0.15384615384615385;0.0;0.13333333333333333;0.0;0.0;0.0;1.0;0.2857142857142857;0.0;0.13333333333333333;0.6666666666666666;0.13333333333333333;0.0;0.7142857142857143;0.0;0.0;0.7142857142857143
GO:0001975;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.3076923076923077;0.625;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.2857142857142857;0.5;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.8333333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.6666666666666666;0.0;0.21052631578947367;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;1.0;0.0;0.0;0.5;0.0;0.0;0.5714285714285714;0.0;0.0;0.5714285714285714
GO:0043066;0.47058823529411764;0.0;0.625;0.0;0.0;0.8;0.11764705882352941;0.0;0.0;0.0;0.3;0.4;0.0;0.45454545454545453;0.5333333333333333;0.0;0.0;0.6666666666666666;0.0;0.5714285714285714;0.125;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.4444444444444444;0.4444444444444444;0.0;0.4;0.47058823529411764;0.0;0.42105263157894735;0.38095238095238093;0.47058823529411764;0.5333333333333333;0.7142857142857143;0.0;0.42105263157894735;0.4;0.5333333333333333;0.9411764705882353;0.5333333333333333;0.4444444444444444;0.0;0.0;0.4;0.5333333333333333;0.5333333333333333;0.3333333333333333;0.4444444444444444;0.1111111111111111;0.5333333333333333;0.42105263157894735;0.5555555555555556;0.625;0.5714285714285714;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.7777777777777778;0.5;0.0;0.0;0.9411764705882353;0.0;0.2857142857142857;0.0;0.1111111111111111;0.0;0.5555555555555556;0.0;0.09523809523809523;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.625;0.1;0.23529411764705882;0.4;0.5;0.1111111111111111;0.47058823529411764;0.11764705882352941;0.5882352941176471;0.5882352941176471;0.0;0.0;0.375;0.5714285714285714;0.3;0.1;0.625;0.0;0.47619047619047616;0.0;0.5333333333333333;0.5;0.0;0.5882352941176471;0.0;0.5333333333333333;0.0;0.47058823529411764;0.4;0.0;0.4444444444444444;0.38095238095238093;0.5;0.11764705882352941;0.0;0.0;0.5;0.0;0.0;0.3333333333333333;0.11764705882352941;0.5;0.8235294117647058;0.0;0.4;0.0;0.0;0.0;0.5714285714285714;0.6666666666666666;0.125;0.42105263157894735;0.0;0.5882352941176471;0.0;0.0;1.0;0.125;0.0;0.125;0.4;0.0;0.9411764705882353;0.47058823529411764;0.0
GO:0070098;0.11764705882352941;0.23529411764705882;0.125;0.2222222222222222;0.25;0.13333333333333333;0.11764705882352941;0.10526315789473684;0.23529411764705882;0.0;0.1;0.1;0.11764705882352941;0.09090909090909091;0.13333333333333333;0.0;0.11764705882352941;0.13333333333333333;0.0;0.14285714285714285;0.125;0.0;0.25;0.0;0.0;0.125;0.13333333333333333;0.1111111111111111;0.1111111111111111;0.0;0.4;0.11764705882352941;0.3076923076923077;0.42105263157894735;0.09523809523809523;0.11764705882352941;0.13333333333333333;0.14285714285714285;0.15384615384615385;0.10526315789473684;0.1;0.13333333333333333;0.11764705882352941;0.13333333333333333;0.1111111111111111;0.2857142857142857;0.3076923076923077;0.4;0.9333333333333333;0.13333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.13333333333333333;0.42105263157894735;0.4444444444444444;0.125;0.14285714285714285;0.125;0.13333333333333333;0.0;0.0;0.125;0.11764705882352941;0.1111111111111111;0.1111111111111111;0.125;0.26666666666666666;0.0;0.11764705882352941;0.2222222222222222;0.14285714285714285;0.125;0.1111111111111111;0.10526315789473684;0.1111111111111111;0.23529411764705882;0.09523809523809523;0.1111111111111111;0.3076923076923077;0.13333333333333333;0.1111111111111111;0.14285714285714285;0.0;0.15384615384615385;0.125;0.1;0.11764705882352941;0.13333333333333333;0.125;0.1111111111111111;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.13333333333333333;0.14285714285714285;0.125;0.14285714285714285;0.1;0.1;0.125;0.13333333333333333;0.38095238095238093;0.13333333333333333;0.13333333333333333;0.125;0.3076923076923077;0.11764705882352941;0.14285714285714285;0.13333333333333333;0.2222222222222222;0.11764705882352941;0.4;0.11764705882352941;0.1111111111111111;0.09523809523809523;0.1;0.11764705882352941;0.0;0.14285714285714285;0.1;0.14285714285714285;0.26666666666666666;0.1111111111111111;0.11764705882352941;0.125;0.11764705882352941;0.23529411764705882;0.13333333333333333;0.13333333333333333;0.2857142857142857;0.1111111111111111;0.14285714285714285;0.13333333333333333;0.125;0.10526315789473684;0.0;0.11764705882352941;0.13333333333333333;0.0;0.125;1.0;0.3076923076923077;0.125;0.13333333333333333;0.26666666666666666;0.11764705882352941;0.11764705882352941;0.26666666666666666
GO:0034599;0.0;0.2857142857142857;0.3076923076923077;0.26666666666666666;0.6153846153846154;0.0;0.42857142857142855;0.25;0.2857142857142857;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.5454545454545454;0.5714285714285714;0.0;0.0;0.36363636363636365;0.3076923076923077;0.0;0.6153846153846154;0.3333333333333333;0.42857142857142855;0.46153846153846156;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.3333333333333333;0.0;0.4;0.0;0.0;0.3333333333333333;0.0;0.0;0.26666666666666666;0.7272727272727273;0.8;0.0;0.3333333333333333;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.6666666666666666;0.0;0.0;0.0;0.2857142857142857;0.26666666666666666;0.0;0.0;0.6666666666666666;0.6;0.0;0.26666666666666666;0.0;0.3076923076923077;0.26666666666666666;0.125;0.0;0.2857142857142857;0.4444444444444444;0.13333333333333333;0.4;0.0;0.26666666666666666;0.36363636363636365;0.46153846153846156;0.2;0.3076923076923077;0.23529411764705882;0.0;0.3333333333333333;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.16666666666666666;0.36363636363636365;0.0;0.36363636363636365;0.0;0.0;0.0;0.3333333333333333;0.0;0.16666666666666666;0.0;0.0;0.6;0.0;0.7272727272727273;0.0;0.26666666666666666;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.42857142857142855;0.46153846153846156;0.36363636363636365;0.47058823529411764;0.36363636363636365;0.6666666666666666;0.0;0.2857142857142857;0.0;0.0;0.2857142857142857;0.0;0.3333333333333333;0.7272727272727273;0.13333333333333333;0.36363636363636365;0.0;0.3076923076923077;0.0;0.0;0.0;0.6666666666666666;0.5;0.0;0.3076923076923077;1.0;0.3076923076923077;0.0;0.6666666666666666;0.0;0.0;0.6666666666666666
GO:0070498;0.11764705882352941;0.23529411764705882;0.125;0.2222222222222222;0.25;0.13333333333333333;0.11764705882352941;0.10526315789473684;0.23529411764705882;0.0;0.1;0.1;0.11764705882352941;0.09090909090909091;0.13333333333333333;0.0;0.11764705882352941;0.13333333333333333;0.0;0.14285714285714285;0.125;0.0;0.25;0.0;0.0;0.125;0.13333333333333333;0.1111111111111111;0.1111111111111111;0.0;0.4;0.11764705882352941;0.3076923076923077;0.42105263157894735;0.09523809523809523;0.11764705882352941;0.13333333333333333;0.14285714285714285;0.15384615384615385;0.10526315789473684;0.1;0.13333333333333333;0.11764705882352941;0.13333333333333333;0.1111111111111111;0.2857142857142857;0.3076923076923077;0.4;0.9333333333333333;0.13333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.13333333333333333;0.42105263157894735;0.4444444444444444;0.125;0.14285714285714285;0.125;0.13333333333333333;0.0;0.0;0.125;0.11764705882352941;0.1111111111111111;0.1111111111111111;0.125;0.26666666666666666;0.0;0.11764705882352941;0.2222222222222222;0.14285714285714285;0.125;0.1111111111111111;0.10526315789473684;0.1111111111111111;0.23529411764705882;0.09523809523809523;0.1111111111111111;0.3076923076923077;0.13333333333333333;0.1111111111111111;0.14285714285714285;0.0;0.15384615384615385;0.125;0.1;0.11764705882352941;0.13333333333333333;0.125;0.1111111111111111;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.13333333333333333;0.14285714285714285;0.125;0.14285714285714285;0.1;0.1;0.125;0.13333333333333333;0.38095238095238093;0.13333333333333333;0.13333333333333333;0.125;0.3076923076923077;0.11764705882352941;0.14285714285714285;0.13333333333333333;0.2222222222222222;0.11764705882352941;0.4;0.11764705882352941;0.1111111111111111;0.09523809523809523;0.1;0.11764705882352941;0.0;0.14285714285714285;0.1;0.14285714285714285;0.26666666666666666;0.1111111111111111;0.11764705882352941;0.125;0.11764705882352941;0.23529411764705882;0.13333333333333333;0.13333333333333333;0.2857142857142857;0.1111111111111111;0.14285714285714285;0.13333333333333333;0.125;0.10526315789473684;0.0;0.11764705882352941;0.13333333333333333;0.0;0.125;0.125;0.3076923076923077;1.0;0.13333333333333333;0.26666666666666666;0.11764705882352941;0.11764705882352941;0.26666666666666666
GO:0032733;0.5;0.0;0.13333333333333333;0.0;0.0;0.5714285714285714;0.125;0.0;0.0;0.0;0.5263157894736842;0.42105263157894735;0.0;0.2857142857142857;0.5714285714285714;0.0;0.0;0.42857142857142855;0.0;0.15384615384615385;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.7142857142857143;0.47058823529411764;0.7058823529411765;0.0;0.42105263157894735;0.5;0.0;0.5555555555555556;0.3;0.5;0.14285714285714285;0.46153846153846156;0.0;0.3333333333333333;0.42105263157894735;0.14285714285714285;0.375;0.5714285714285714;0.11764705882352941;0.0;0.0;0.5263157894736842;0.14285714285714285;0.5714285714285714;0.5882352941176471;0.35294117647058826;0.11764705882352941;0.5714285714285714;0.4444444444444444;0.35294117647058826;0.4;0.15384615384615385;0.5333333333333333;0.0;0.0;0.0;0.4;0.0;0.0;0.47058823529411764;0.5333333333333333;0.0;0.0;0.375;0.0;0.3076923076923077;0.0;0.11764705882352941;0.0;0.35294117647058826;0.0;0.1;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.13333333333333333;0.10526315789473684;0.25;0.42857142857142855;0.4;0.5882352941176471;0.5;0.125;0.375;0.375;0.0;0.0;0.5333333333333333;0.15384615384615385;0.42105263157894735;0.10526315789473684;0.4;0.0;0.3;0.0;0.42857142857142855;0.5333333333333333;0.0;0.375;0.0;0.2857142857142857;0.0;0.375;0.3157894736842105;0.0;0.47058823529411764;0.3;0.3157894736842105;0.125;0.0;0.0;0.3157894736842105;0.0;0.0;0.35294117647058826;0.125;0.4;0.5;0.0;0.8571428571428571;0.0;0.0;0.0;0.15384615384615385;0.5714285714285714;0.13333333333333333;0.3333333333333333;0.0;0.375;0.0;0.0;0.4;0.13333333333333333;0.0;0.13333333333333333;1.0;0.0;0.375;0.75;0.0
