;GO:0045926;GO:0006281;GO:0014068;GO:0008584;GO:0007131;GO:0046854;GO:1900535;GO:0032967;GO:0052695;GO:0015709;GO:0051482;GO:0018279;GO:0019367;GO:0034626;GO:0019886;GO:0034625;GO:0035435;GO:0030148;GO:2000491;GO:0035793;GO:0036120;GO:0051260;GO:0042420;GO:0042421;GO:0042542;GO:0006974;GO:0042148;GO:0006335;GO:0032956;GO:0045540;GO:0048015;GO:0035789;GO:0070317;GO:0036116;GO:0051897;GO:0043406;GO:0035025;GO:0036114;GO:0006260;GO:0002181;GO:0008284;GO:0006024;GO:0008202;GO:0038091;GO:0071280;GO:0070192;GO:0006268;GO:0048661;GO:0000165;GO:0071670;GO:0030889;GO:0070221;GO:0046641;GO:0048146;GO:0045671;GO:1990426;GO:0071276;GO:0070106;GO:2000379;GO:0050853;GO:0006270;GO:0031295;GO:0007088;GO:0000727;GO:0006670;GO:0000209;GO:0000724;GO:0000722;GO:0008612;GO:0090280;GO:0045954;GO:0008209;GO:0010923;GO:0051792;GO:0015937;GO:0071422;GO:0050868;GO:0035924;GO:0071423;GO:0072757;GO:0018108;GO:0036297;GO:0006882;GO:1902358;GO:0046777;GO:1902356;GO:0045840;GO:0032526;GO:0071294;GO:0055003;GO:0030224;GO:0010971;GO:0006094;GO:0000707;GO:0007186;GO:0043552;GO:0060437;GO:0043161;GO:0032516;GO:0032355;GO:0010863;GO:0010469;GO:0070757;GO:0018105;GO:0050921;GO:0008360;GO:1904153;GO:0060981;GO:0042759;GO:0038171;GO:0006589;GO:0006468;GO:0043687;GO:0000079;GO:0000086;GO:0045590;GO:0009968;GO:0045078;GO:0030968;GO:0000082;GO:0031497;GO:0035338;GO:0071479;GO:0010833;GO:0014911;GO:0050777;GO:0016311;GO:2000573;GO:0050776;GO:0051106;GO:0009062;GO:0010571;GO:0006351;GO:0006355;GO:0007202;GO:0007166;GO:0042761;GO:0045085;GO:0042130;GO:0043066;GO:0042098;GO:0043065;GO:0070374;GO:0006909;GO:0010569;GO:0030433
GO:0050777;0.7272727272727273;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.46153846153846156;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46153846153846156;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.375;0.14285714285714285;0.0;0.5714285714285714;0.0;0.5333333333333333;0.42105263157894735;0.47058823529411764;0.0;0.0;0.0;0.5;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.46153846153846156;0.125;0.0;0.625;0.0;0.47058823529411764;0.46153846153846156;0.625;0.0;0.0;0.14285714285714285;0.46153846153846156;0.11764705882352941;0.0;0.5;0.42857142857142855;0.0;0.0;0.0;0.0;0.25;0.0;0.375;0.625;0.3076923076923077;0.5;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.16666666666666666;0.3333333333333333;0.0;0.0;0.35294117647058826;0.0;0.26666666666666666;0.6153846153846154;0.14285714285714285;0.0;0.6153846153846154;0.3076923076923077;0.5263157894736842;0.0;0.0;0.15384615384615385;0.25;0.0;0.0;0.3333333333333333;0.0;0.5882352941176471;0.7692307692307693;0.4;0.16666666666666666;0.0;0.0;0.0;0.0;0.26666666666666666;0.4;1.0;0.0;0.4;0.9090909090909091;0.4;0.0;0.35294117647058826;0.0;0.375;0.25;0.16666666666666666;0.0;0.5333333333333333;0.625;0.5714285714285714;0.0;0.42857142857142855;0.4444444444444444;0.0;0.5;0.0
GO:0016311;0.0;0.42857142857142855;0.0;0.0;0.25;0.6666666666666666;0.35294117647058826;0.0;0.25;0.0;0.21052631578947367;0.375;0.35294117647058826;0.3333333333333333;0.0;0.3333333333333333;0.0;0.42857142857142855;0.0;0.2222222222222222;0.15384615384615385;0.15384615384615385;0.4;0.4;0.0;0.36363636363636365;0.42857142857142855;0.26666666666666666;0.0;0.0;0.2857142857142857;0.14285714285714285;0.0;0.5333333333333333;0.0;0.0;0.0;0.5333333333333333;0.42857142857142855;0.26666666666666666;0.0;0.3076923076923077;0.36363636363636365;0.23529411764705882;0.3076923076923077;0.3333333333333333;0.26666666666666666;0.0;0.25;0.2857142857142857;0.0;0.5;0.0;0.0;0.0;0.35294117647058826;0.3076923076923077;0.2857142857142857;0.0;0.23529411764705882;0.42857142857142855;0.0;0.0;0.35294117647058826;0.4;0.35294117647058826;0.375;0.375;0.25;0.0;0.0;0.46153846153846156;0.0;0.375;0.5555555555555556;0.0;0.0;0.3076923076923077;0.0;0.2857142857142857;0.625;0.4;0.23529411764705882;0.0;0.6666666666666666;0.0;0.0;0.0;0.3076923076923077;0.26666666666666666;0.15384615384615385;0.0;0.2857142857142857;0.26666666666666666;0.3333333333333333;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.2857142857142857;0.625;0.0;0.0;0.0;0.15384615384615385;0.375;0.3076923076923077;0.375;0.7142857142857143;0.42857142857142855;0.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.5333333333333333;0.3076923076923077;0.4;0.0;0.0;1.0;0.0;0.0;0.0;0.4;0.0;0.25;0.0;0.0;0.3333333333333333;0.375;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.35294117647058826
GO:2000573;0.42857142857142855;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.47619047619047616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.5263157894736842;0.11764705882352941;0.0;0.47058823529411764;0.0;0.5555555555555556;0.5454545454545454;0.5;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.5;0.0;0.0;0.0;0.625;0.42105263157894735;0.0;0.42105263157894735;0.0;0.5;0.625;0.42105263157894735;0.0;0.0;0.11764705882352941;0.75;0.1;0.0;0.5263157894736842;0.47058823529411764;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.42105263157894735;0.42105263157894735;0.25;0.5263157894736842;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.5263157894736842;0.0;0.0;0.5333333333333333;0.47619047619047616;0.0;0.0;0.6;0.0;0.2222222222222222;0.5;0.11764705882352941;0.0;0.5;0.5;0.36363636363636365;0.0;0.0;0.5;0.21052631578947367;0.0;0.0;0.38095238095238093;0.0;0.4;0.5;0.7777777777777778;0.5333333333333333;0.0;0.0;0.0;0.0;0.2222222222222222;0.5555555555555556;0.4;0.0;1.0;0.42857142857142855;0.8888888888888888;0.0;0.7;0.0;0.7368421052631579;0.21052631578947367;0.5333333333333333;0.0;0.6666666666666666;0.42105263157894735;0.47058823529411764;0.0;0.5882352941176471;0.5714285714285714;0.0;0.7368421052631579;0.0
GO:0050776;0.6;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46153846153846156;0.4;0.15384615384615385;0.0;0.46153846153846156;0.0;0.5714285714285714;0.4444444444444444;0.5;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.125;0.0;0.0;0.0;0.5;0.13333333333333333;0.0;0.5333333333333333;0.0;0.5;0.5;0.5333333333333333;0.0;0.0;0.15384615384615385;0.5;0.125;0.0;0.5333333333333333;0.46153846153846156;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.4;0.6666666666666666;0.3333333333333333;0.26666666666666666;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.18181818181818182;0.35294117647058826;0.0;0.0;0.375;0.0;0.2857142857142857;0.6666666666666666;0.15384615384615385;0.0;0.6666666666666666;0.3333333333333333;0.4444444444444444;0.0;0.0;0.16666666666666666;0.26666666666666666;0.0;0.0;0.35294117647058826;0.0;0.5;0.6666666666666666;0.42857142857142855;0.18181818181818182;0.0;0.0;0.0;0.0;0.2857142857142857;0.42857142857142855;0.9090909090909091;0.0;0.42857142857142855;1.0;0.42857142857142855;0.0;0.375;0.0;0.4;0.26666666666666666;0.18181818181818182;0.0;0.42857142857142855;0.5333333333333333;0.46153846153846156;0.0;0.46153846153846156;0.47058823529411764;0.0;0.5333333333333333;0.0
GO:0051106;0.42857142857142855;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.625;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.42105263157894735;0.11764705882352941;0.0;0.47058823529411764;0.0;0.4444444444444444;0.5454545454545454;0.4;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.5;0.0;0.0;0.0;0.625;0.42105263157894735;0.0;0.42105263157894735;0.0;0.4;0.625;0.42105263157894735;0.0;0.0;0.11764705882352941;0.75;0.1;0.0;0.42105263157894735;0.47058823529411764;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.42105263157894735;0.42105263157894735;0.25;0.5263157894736842;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.5263157894736842;0.0;0.0;0.5333333333333333;0.47619047619047616;0.0;0.0;0.6;0.0;0.2222222222222222;0.25;0.11764705882352941;0.0;0.5;0.25;0.36363636363636365;0.0;0.0;0.125;0.21052631578947367;0.0;0.0;0.38095238095238093;0.0;0.4;0.5;0.6666666666666666;0.5333333333333333;0.0;0.0;0.0;0.0;0.2222222222222222;0.4444444444444444;0.4;0.0;0.8888888888888888;0.42857142857142855;1.0;0.0;0.8;0.0;0.5263157894736842;0.21052631578947367;0.5333333333333333;0.0;0.5555555555555556;0.42105263157894735;0.47058823529411764;0.0;0.5882352941176471;0.5714285714285714;0.0;0.7368421052631579;0.0
GO:0009062;0.0;0.35294117647058826;0.0;0.0;0.21052631578947367;0.5555555555555556;0.8;0.0;0.7368421052631579;0.0;0.18181818181818182;0.3157894736842105;0.8;0.7619047619047619;0.0;0.7619047619047619;0.0;0.5882352941176471;0.0;0.19047619047619047;0.125;0.125;0.4444444444444444;0.3333333333333333;0.0;0.2857142857142857;0.35294117647058826;0.2222222222222222;0.0;0.0;0.23529411764705882;0.11764705882352941;0.0;0.4444444444444444;0.0;0.0;0.0;0.4444444444444444;0.35294117647058826;0.2222222222222222;0.0;0.375;0.5714285714285714;0.2;0.25;0.26666666666666666;0.2222222222222222;0.0;0.21052631578947367;0.23529411764705882;0.0;0.4;0.0;0.0;0.0;0.3;0.25;0.23529411764705882;0.0;0.2;0.35294117647058826;0.0;0.0;0.3;0.5555555555555556;0.3;0.3157894736842105;0.3157894736842105;0.21052631578947367;0.0;0.0;0.375;0.0;0.8421052631578947;0.2857142857142857;0.0;0.0;0.25;0.0;0.23529411764705882;0.3157894736842105;0.3333333333333333;0.2;0.0;0.3333333333333333;0.0;0.0;0.0;0.25;0.2222222222222222;0.125;0.0;0.23529411764705882;0.2222222222222222;0.26666666666666666;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.23529411764705882;0.3157894736842105;0.0;0.0;0.0;0.125;0.8421052631578947;0.25;0.3157894736842105;0.35294117647058826;0.35294117647058826;0.0;0.26666666666666666;0.0;0.0;0.0;0.26666666666666666;0.26666666666666666;0.26666666666666666;0.3333333333333333;0.25;0.3333333333333333;0.0;0.0;0.4;0.0;0.0;0.0;1.0;0.0;0.21052631578947367;0.0;0.0;0.26666666666666666;0.8421052631578947;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.4
GO:0010571;0.375;0.0;0.5;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.43478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.47619047619047616;0.10526315789473684;0.0;0.631578947368421;0.0;0.5;0.4166666666666667;0.45454545454545453;0.0;0.0;0.0;0.5882352941176471;0.0;0.0;0.45454545454545453;0.0;0.0;0.0;0.5555555555555556;0.38095238095238093;0.0;0.38095238095238093;0.0;0.45454545454545453;0.5555555555555556;0.38095238095238093;0.0;0.0;0.10526315789473684;0.5555555555555556;0.09090909090909091;0.0;0.47619047619047616;0.631578947368421;0.0;0.0;0.0;0.0;0.19047619047619047;0.0;0.38095238095238093;0.38095238095238093;0.2222222222222222;0.38095238095238093;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.47058823529411764;0.43478260869565216;0.0;0.0;0.45454545454545453;0.0;0.2;0.4444444444444444;0.10526315789473684;0.0;0.4444444444444444;0.4444444444444444;0.3333333333333333;0.0;0.0;0.4444444444444444;0.19047619047619047;0.0;0.0;0.43478260869565216;0.0;0.36363636363636365;0.4444444444444444;0.7;0.47058823529411764;0.0;0.0;0.0;0.0;0.2;0.5;0.35294117647058826;0.0;0.7;0.375;0.8;0.0;1.0;0.0;0.6666666666666666;0.19047619047619047;0.47058823529411764;0.0;0.6;0.38095238095238093;0.42105263157894735;0.0;0.5263157894736842;0.43478260869565216;0.0;0.6666666666666666;0.0
GO:0006351;0.0;0.4444444444444444;0.0;0.0;0.1;0.21052631578947367;0.2857142857142857;0.0;0.2;0.0;0.08695652173913043;0.1;0.2857142857142857;0.2727272727272727;0.0;0.2727272727272727;0.0;0.4444444444444444;0.0;0.09090909090909091;0.11764705882352941;0.11764705882352941;0.21052631578947367;0.3157894736842105;0.0;0.13333333333333333;0.1111111111111111;0.10526315789473684;0.0;0.0;0.1111111111111111;0.1111111111111111;0.0;0.3157894736842105;0.0;0.0;0.0;0.3157894736842105;0.6666666666666666;0.42105263157894735;0.0;0.5882352941176471;0.4;0.09523809523809523;0.11764705882352941;0.125;0.10526315789473684;0.0;0.1;0.1111111111111111;0.0;0.25;0.0;0.0;0.0;0.09523809523809523;0.11764705882352941;0.1111111111111111;0.0;0.09523809523809523;0.1111111111111111;0.0;0.0;0.38095238095238093;0.21052631578947367;0.38095238095238093;0.4;0.4;0.1;0.0;0.0;0.35294117647058826;0.0;0.3;0.36363636363636365;0.0;0.0;0.11764705882352941;0.0;0.1111111111111111;0.4;0.42105263157894735;0.09523809523809523;0.0;0.42105263157894735;0.0;0.0;0.0;0.11764705882352941;0.10526315789473684;0.11764705882352941;0.0;0.2222222222222222;0.10526315789473684;0.125;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.1111111111111111;0.4;0.0;0.0;0.0;0.11764705882352941;0.3;0.11764705882352941;0.4;0.4444444444444444;0.4444444444444444;0.0;0.125;0.0;0.0;0.0;0.125;0.125;0.125;0.3157894736842105;0.11764705882352941;0.42105263157894735;0.0;0.0;0.25;0.0;0.0;0.0;0.21052631578947367;0.0;1.0;0.0;0.0;0.125;0.3;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.38095238095238093
GO:0006355;0.4;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.5882352941176471;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.5;0.1111111111111111;0.0;0.4444444444444444;0.0;0.42105263157894735;0.43478260869565216;0.38095238095238093;0.0;0.0;0.0;0.5;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.47058823529411764;0.4;0.0;0.4;0.0;0.38095238095238093;0.47058823529411764;0.4;0.0;0.0;0.1111111111111111;0.5882352941176471;0.09523809523809523;0.0;0.1;0.4444444444444444;0.0;0.0;0.0;0.0;0.2;0.0;0.3;0.3;0.23529411764705882;0.5;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.0;0.19047619047619047;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.5;0.36363636363636365;0.0;0.0;0.47619047619047616;0.0;0.21052631578947367;0.23529411764705882;0.1111111111111111;0.0;0.35294117647058826;0.23529411764705882;0.34782608695652173;0.0;0.0;0.11764705882352941;0.2;0.0;0.0;0.36363636363636365;0.0;0.38095238095238093;0.47058823529411764;0.631578947368421;0.5;0.0;0.0;0.0;0.0;0.21052631578947367;0.42105263157894735;0.375;0.0;0.7368421052631579;0.4;0.5263157894736842;0.0;0.6666666666666666;0.0;1.0;0.2;0.5;0.0;0.631578947368421;0.4;0.4444444444444444;0.0;0.4444444444444444;0.45454545454545453;0.0;0.5;0.0
GO:0007202;0.26666666666666666;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23529411764705882;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.2;0.1111111111111111;0.0;0.2222222222222222;0.0;0.21052631578947367;0.43478260869565216;0.19047619047619047;0.0;0.0;0.0;0.25;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.23529411764705882;0.1;0.0;0.2;0.0;0.19047619047619047;0.23529411764705882;0.2;0.0;0.0;0.1111111111111111;0.23529411764705882;0.09523809523809523;0.0;0.1;0.2222222222222222;0.0;0.0;0.0;0.0;0.2;0.0;0.2;0.2;0.23529411764705882;0.5;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.19047619047619047;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.125;0.45454545454545453;0.0;0.0;0.5714285714285714;0.0;0.9473684210526315;0.35294117647058826;0.1111111111111111;0.0;0.23529411764705882;0.23529411764705882;0.17391304347826086;0.0;0.0;0.11764705882352941;0.2;0.0;0.0;0.36363636363636365;0.0;0.19047619047619047;0.23529411764705882;0.21052631578947367;0.125;0.0;0.0;0.0;0.0;0.21052631578947367;0.21052631578947367;0.25;0.0;0.21052631578947367;0.26666666666666666;0.21052631578947367;0.0;0.19047619047619047;0.0;0.2;1.0;0.125;0.0;0.21052631578947367;0.2;0.2222222222222222;0.0;0.2222222222222222;0.18181818181818182;0.0;0.2;0.0
GO:0007166;0.18181818181818182;0.2857142857142857;0.5333333333333333;0.0;0.125;0.26666666666666666;0.23529411764705882;0.15384615384615385;0.125;0.0;0.10526315789473684;0.125;0.23529411764705882;0.2222222222222222;0.0;0.2222222222222222;0.0;0.2857142857142857;0.6153846153846154;0.1111111111111111;0.15384615384615385;0.15384615384615385;0.26666666666666666;0.13333333333333333;0.0;0.36363636363636365;0.14285714285714285;0.13333333333333333;0.5714285714285714;0.125;0.14285714285714285;0.14285714285714285;0.5714285714285714;0.26666666666666666;0.5333333333333333;0.42105263157894735;0.47058823529411764;0.26666666666666666;0.2857142857142857;0.13333333333333333;0.6666666666666666;0.0;0.0;0.11764705882352941;0.3076923076923077;0.16666666666666666;0.13333333333333333;0.6153846153846154;0.125;0.14285714285714285;0.5;0.16666666666666666;0.47058823529411764;0.6153846153846154;0.5;0.11764705882352941;0.3076923076923077;0.14285714285714285;0.6153846153846154;0.11764705882352941;0.14285714285714285;0.125;0.5714285714285714;0.23529411764705882;0.13333333333333333;0.23529411764705882;0.25;0.125;0.125;0.125;0.125;0.3076923076923077;0.125;0.25;0.2222222222222222;0.0;0.5333333333333333;0.3076923076923077;0.0;0.2857142857142857;0.25;0.26666666666666666;0.23529411764705882;0.0;0.26666666666666666;0.0;0.5333333333333333;0.0;0.3076923076923077;0.13333333333333333;0.15384615384615385;0.5;0.0;0.13333333333333333;0.16666666666666666;0.4444444444444444;0.0;0.125;0.47058823529411764;0.0;0.13333333333333333;0.15384615384615385;0.14285714285714285;0.25;0.15384615384615385;0.15384615384615385;0.42105263157894735;0.15384615384615385;0.25;0.15384615384615385;0.25;0.2857142857142857;0.2857142857142857;0.4444444444444444;0.16666666666666666;0.47058823529411764;0.6153846153846154;0.5333333333333333;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.13333333333333333;0.15384615384615385;0.13333333333333333;0.5333333333333333;0.16666666666666666;0.3333333333333333;0.5333333333333333;0.18181818181818182;0.5333333333333333;0.26666666666666666;0.47058823529411764;0.125;0.5;0.125;1.0;0.25;0.5333333333333333;0.5;0.5714285714285714;0.15384615384615385;0.5714285714285714;0.4444444444444444;0.0;0.5;0.11764705882352941
GO:0042761;0.0;0.3333333333333333;0.0;0.0;0.2;0.5263157894736842;0.8571428571428571;0.0;0.7;0.0;0.17391304347826086;0.3;0.8571428571428571;0.8181818181818182;0.0;0.8181818181818182;0.0;0.5555555555555556;0.0;0.18181818181818182;0.11764705882352941;0.11764705882352941;0.3157894736842105;0.42105263157894735;0.0;0.26666666666666666;0.3333333333333333;0.21052631578947367;0.0;0.0;0.2222222222222222;0.1111111111111111;0.0;0.3157894736842105;0.0;0.0;0.0;0.3157894736842105;0.4444444444444444;0.3157894736842105;0.0;0.47058823529411764;0.5333333333333333;0.19047619047619047;0.23529411764705882;0.25;0.21052631578947367;0.0;0.2;0.2222222222222222;0.0;0.375;0.0;0.0;0.0;0.2857142857142857;0.23529411764705882;0.2222222222222222;0.0;0.19047619047619047;0.3333333333333333;0.0;0.0;0.2857142857142857;0.5263157894736842;0.2857142857142857;0.3;0.3;0.3;0.0;0.0;0.47058823529411764;0.0;0.9;0.36363636363636365;0.0;0.0;0.23529411764705882;0.0;0.2222222222222222;0.3;0.3157894736842105;0.19047619047619047;0.0;0.3157894736842105;0.0;0.0;0.0;0.23529411764705882;0.21052631578947367;0.11764705882352941;0.0;0.4444444444444444;0.21052631578947367;0.25;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.2222222222222222;0.3;0.0;0.0;0.0;0.11764705882352941;0.9;0.23529411764705882;0.4;0.3333333333333333;0.3333333333333333;0.0;0.25;0.0;0.0;0.0;0.25;0.25;0.25;0.42105263157894735;0.23529411764705882;0.3157894736842105;0.0;0.0;0.375;0.0;0.0;0.0;0.8421052631578947;0.0;0.3;0.0;0.0;0.25;1.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.2857142857142857
GO:0045085;0.5714285714285714;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.625;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.5263157894736842;0.11764705882352941;0.0;0.5882352941176471;0.0;0.4444444444444444;0.5454545454545454;0.4;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.1;0.0;0.0;0.0;0.5;0.42105263157894735;0.0;0.42105263157894735;0.0;0.4;0.5;0.5263157894736842;0.0;0.0;0.11764705882352941;0.625;0.1;0.0;0.10526315789473684;0.47058823529411764;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.3157894736842105;0.3157894736842105;0.25;0.631578947368421;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.5333333333333333;0.47619047619047616;0.0;0.0;0.6;0.0;0.2222222222222222;0.25;0.11764705882352941;0.0;0.375;0.25;0.45454545454545453;0.0;0.0;0.125;0.21052631578947367;0.0;0.0;0.38095238095238093;0.0;0.5;0.625;0.7777777777777778;0.5333333333333333;0.0;0.0;0.0;0.0;0.2222222222222222;0.4444444444444444;0.5333333333333333;0.0;0.6666666666666666;0.42857142857142855;0.5555555555555556;0.0;0.6;0.0;0.631578947368421;0.21052631578947367;0.5333333333333333;0.0;1.0;0.42105263157894735;0.5882352941176471;0.0;0.47058823529411764;0.5714285714285714;0.0;0.5263157894736842;0.0
GO:0042130;0.5333333333333333;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.35294117647058826;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5882352941176471;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.3;0.1111111111111111;0.0;0.5555555555555556;0.0;0.42105263157894735;0.34782608695652173;0.38095238095238093;0.0;0.0;0.0;0.625;0.0;0.0;0.47619047619047616;0.0;0.0;0.0;0.5882352941176471;0.4;0.0;0.9;0.0;0.8571428571428571;0.5882352941176471;0.5;0.0;0.0;0.1111111111111111;0.47058823529411764;0.09523809523809523;0.0;0.8;0.4444444444444444;0.0;0.0;0.0;0.0;0.2;0.0;0.3;0.4;0.23529411764705882;0.5;0.0;0.0;0.0;0.9473684210526315;0.0;0.0;0.0;0.0;0.0;0.19047619047619047;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.5;0.2727272727272727;0.0;0.0;0.38095238095238093;0.0;0.21052631578947367;0.23529411764705882;0.1111111111111111;0.0;0.35294117647058826;0.23529411764705882;0.43478260869565216;0.0;0.0;0.11764705882352941;0.2;0.0;0.0;0.36363636363636365;0.0;0.8571428571428571;0.5882352941176471;0.42105263157894735;0.5;0.0;0.0;0.0;0.0;0.21052631578947367;0.42105263157894735;0.625;0.0;0.42105263157894735;0.5333333333333333;0.42105263157894735;0.0;0.38095238095238093;0.0;0.4;0.2;0.5;0.0;0.42105263157894735;1.0;0.5555555555555556;0.0;0.4444444444444444;0.36363636363636365;0.0;0.4;0.0
GO:0043066;0.6153846153846154;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.19047619047619047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.3333333333333333;0.125;0.0;0.625;0.0;0.47058823529411764;0.38095238095238093;0.42105263157894735;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.5333333333333333;0.4444444444444444;0.0;0.5555555555555556;0.0;0.42105263157894735;0.5333333333333333;0.5555555555555556;0.0;0.0;0.125;0.5333333333333333;0.10526315789473684;0.0;0.4444444444444444;0.5;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.3333333333333333;0.3333333333333333;0.26666666666666666;0.5555555555555556;0.0;0.0;0.0;0.5882352941176471;0.0;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.5714285714285714;0.4;0.0;0.0;0.42105263157894735;0.0;0.23529411764705882;0.5333333333333333;0.125;0.0;0.4;0.5333333333333333;0.47619047619047616;0.0;0.0;0.5333333333333333;0.2222222222222222;0.0;0.0;0.4;0.0;0.5263157894736842;0.6666666666666666;0.47058823529411764;0.5714285714285714;0.0;0.0;0.0;0.0;0.23529411764705882;0.47058823529411764;0.5714285714285714;0.0;0.47058823529411764;0.46153846153846156;0.47058823529411764;0.0;0.42105263157894735;0.0;0.4444444444444444;0.2222222222222222;0.5714285714285714;0.0;0.5882352941176471;0.5555555555555556;1.0;0.0;0.875;0.4;0.0;0.4444444444444444;0.0
